ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
504092718,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,1,0.0,16431,37344928279029,7,42.50990295410156,-582.7106220968371,0.03642198084919379,1,-14571.503586525434,7.173800258897245E-4,,,,,0,,1,,
504092718,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,3,0.0,16431,37344915616509,39,27.57190704345703,-854.8839176247398,0.19785320333299572,4,-21312.804398509466,3.4028234663852886E38,,,,,0,,1,,
504092719,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,8,0.0,16431,37344930686665,9,40.03453826904297,198.99744339447216,0.048373951965915735,1,4889.54292112331,9.539324091747403E-4,,,,,0,,1,,
504092719,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,10,0.0,16431,37344925899410,55,24.592012405395508,356.0509708445825,0.27593140159042817,4,8104.063670302689,3.4028234663852886E38,,,,,0,,1,,
504092719,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,11,0.0,16431,37344930948580,11,38.557151794433594,-476.1590813415098,0.05703374999560687,1,-11930.320707915502,0.0010727735934779048,,,,,0,,1,,
504092720,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,14,0.0,16431,37344918234991,27,30.62891387939453,-673.5573417934752,0.1404574645318859,4,-16814.174359901197,3.4028234663852886E38,,,,,0,,1,,
504092720,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,18,0.0,16431,37344933351919,11,38.376827239990234,-300.9631555421988,0.058621196990359975,1,-7567.4680091220225,0.0010952780721709132,,,,,0,,1,,
504092720,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,22,0.0,16431,37344921935597,7,41.91655731201172,-747.8523254692886,0.03775065995474411,1,-18669.031453523323,7.680979906581342E-4,,,,,0,,1,,
504092721,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,27,0.0,16431,37344924641727,18,34.09967041015625,523.531139723977,0.09282581698617809,4,12989.301759107699,3.4028234663852886E38,,,,,0,,1,,
504092721,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,28,0.0,51,3571355,166,14.180471420288086,-400.8650386176432,4.20064252997782,4,-10037.043367827668,3.4028234663852886E38,,,,,1,,1,,
504092721,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,32,0.0,16431,37344921652072,24,31.862464904785156,-531.9465753938503,0.1193131112372866,1,-13306.494838333174,0.0023186891339719296,,,,,0,,1,,
504092721,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,2,0.0,32995,48126928482484,33,37.743324279785156,-832.5864247534737,0.06199894233883624,1,-19959.00741546336,0.001160228974185884,,,,,0,,3,,
504092722,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,18,0.0,17,255577,166,16.335098266601562,-781.005353402722,4.200945810587035,4,-17132.632850377235,3.4028234663852886E38,,,,,1,,3,,
504092722,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,9,0.0,17,897487,167,11.682977676391602,-655.8653431072235,4.203758678326933,4,-9856.93084755846,3.4028234663852886E38,,,,,1,,3,,
504092722,28016000000,,,-1222338116983980652,0.0,10.032828266799342,,,0,16,0.0,17,888841,166,15.605140686035156,73.09696828780841,4.201239239236161,4,717.6948336388463,3.4028234663852886E38,,,,,1,,3,,
