ElapsedRealtimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,CarrierFrequencyHz
3700,3700000000,18,,668514,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
3700,3700000000,18,,668514,0.0,,-83.459,,,14,,1,,,14,,,,,,,,,,,,,,
3700,3700000000,18,,668514,0.0,,-83.459,,,20,,1,,,11,,,,,,,,,,,,,,
3800,3800000000,18,,668506,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
3800,3800000000,18,,668506,0.0,,-83.459,,,14,,1,,,14,,,,,,,,,,,,,,
3800,3800000000,18,,668506,0.0,,-83.459,,,20,,1,,,11,,,,,,,,,,,,,,
3900,3900000000,18,,668498,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
3900,3900000000,18,,668498,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
3900,3900000000,18,,668498,0.0,,-83.459,,,20,,1,,,11,,,,,,,,,,,,,,
4000,4000000000,18,,668489,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4000,4000000000,18,,668489,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4000,4000000000,18,,668489,0.0,,-83.459,,,20,,1,,,11,,,,,,,,,,,,,,
4100,4100000000,18,,668481,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4100,4100000000,18,,668481,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4100,4100000000,18,,668481,0.0,,-83.459,,,20,,1,,,11,,,,,,,,,,,,,,
4200,4200000000,18,,668472,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4200,4200000000,18,,668472,0.0,,-83.459,,,14,,1,,,14,,,,,,,,,,,,,,
4200,4200000000,18,,668472,0.0,,-83.459,,,20,,1,,,11,,,,,,,,,,,,,,
4300,4300000000,18,,668464,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4300,4300000000,18,,668464,0.0,,-83.459,,,14,,1,,,14,,,,,,,,,,,,,,
4300,4300000000,18,,668464,0.0,,-83.459,,,20,,1,,,11,,,,,,,,,,,,,,
4400,4400000000,18,,668456,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4400,4400000000,18,,668456,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4400,4400000000,18,,668456,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
4500,4500000000,18,,668447,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4500,4500000000,18,,668447,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4500,4500000000,18,,668447,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
4600,4600000000,18,,668439,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4600,4600000000,18,,668439,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4600,4600000000,18,,668439,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
4700,4700000000,18,,668431,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4700,4700000000,18,,668431,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4700,4700000000,18,,668431,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
4800,4800000000,18,,668422,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4800,4800000000,18,,668422,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4800,4800000000,18,,668422,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
4900,4900000000,18,,668414,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
4900,4900000000,18,,668414,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
4900,4900000000,18,,668414,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
5000,5000000000,18,,668406,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5000,5000000000,18,,668406,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5000,5000000000,18,,668406,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
5100,5100000000,18,,668397,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5100,5100000000,18,,668397,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5100,5100000000,18,,668397,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
5200,5200000000,18,,668389,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5200,5200000000,18,,668389,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5200,5200000000,18,,668389,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
5300,5300000000,18,,668381,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5300,5300000000,18,,668381,0.0,,-83.459,,,14,,1,,,12,,,,,,,,,,,,,,
5300,5300000000,18,,668381,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
5400,5400000000,18,,668372,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5400,5400000000,18,,668372,0.0,,-83.459,,,14,,1,,,12,,,,,,,,,,,,,,
5400,5400000000,18,,668372,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
5500,5500000000,18,,668364,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5500,5500000000,18,,668364,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5500,5500000000,18,,668364,0.0,,-83.459,,,20,,1,,,12,,,,,,,,,,,,,,
5600,5600000000,18,,668356,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5600,5600000000,18,,668356,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5600,5600000000,18,,668356,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
5700,5700000000,18,,668347,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5700,5700000000,18,,668347,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5700,5700000000,18,,668347,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
5800,5800000000,18,,668339,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
5800,5800000000,18,,668339,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5800,5800000000,18,,668339,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
5900,5900000000,18,,668331,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
5900,5900000000,18,,668331,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
5900,5900000000,18,,668331,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
6000,6000000000,18,,668322,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
6000,6000000000,18,,668322,0.0,,-83.459,,,14,,1,,,12,,,,,,,,,,,,,,
6000,6000000000,18,,668322,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
6100,6100000000,18,,668314,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
6100,6100000000,18,,668314,0.0,,-83.459,,,14,,1,,,13,,,,,,,,,,,,,,
6100,6100000000,18,,668314,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
6200,6200000000,18,,668306,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
6200,6200000000,18,,668306,0.0,,-83.459,,,14,,1,,,12,,,,,,,,,,,,,,
6200,6200000000,18,,668306,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
6300,6300000000,18,,668297,0.0,,-83.459,,,12,,1,,,25,,,,,,,,,,,,,,
6300,6300000000,18,,668297,0.0,,-83.459,,,14,,1,,,12,,,,,,,,,,,,,,
6300,6300000000,18,,668297,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
6400,6400000000,18,,668289,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
6400,6400000000,18,,668289,0.0,,-83.459,,,14,,1,,,12,,,,,,,,,,,,,,
6400,6400000000,18,,668289,0.0,,-83.459,,,20,,1,,,13,,,,,,,,,,,,,,
6500,6500000000,18,,668281,0.0,,-83.459,,,12,,1,,,26,,,,,,,,,,,,,,
6500,6500000000,18,,668281,0.0,,-83.459,,,14,,1,,,12,,,,,,,,,,,,,,
