# 
# Header Description:
# 
# Version: v2.0.0.1 Platform: 8.0.0 Manufacturer: HUAWEI Model: VKY-TL00
# 
# ElapsedRealtimeMillis,UtcTimeMillis,Svid,Cn0DbHz,angleZ,angleX,angleY
# 
282247891,1222628383999,2,36.49684143066406,17.47921,-83.14039,151.35239
282247892,1222628383999,5,33.723026275634766,17.47921,-83.14039,151.35239
282247892,1222628383999,7,39.77000427246094,17.47921,-83.14039,151.35239
282247892,1222628383999,9,15.823434829711914,17.47921,-83.14039,151.35239
282247892,1222628383999,13,39.901771545410156,17.47921,-83.14039,151.35239
282247892,1222628383999,15,20.267610549926758,17.47921,-83.14039,151.35239
282247895,1222628383999,28,34.1306266784668,17.47921,-83.14039,151.35239
282247896,1222628383999,30,35.65279006958008,17.47921,-83.14039,151.35239
282247896,1222628383999,2,31.517032623291016,17.47921,-83.14039,151.35239
282247896,1222628383999,18,25.486370086669922,17.47921,-83.14039,151.35239
282247896,1222628383999,12,30.727462768554688,17.47921,-83.14039,151.35239
282247896,1222628383999,11,32.647769927978516,17.47921,-83.14039,151.35239
282247896,1222628383999,1,28.659297943115234,17.47921,-83.14039,151.35239
282247897,1222628383999,17,30.973764419555664,17.47921,-83.14039,151.35239
282247897,1222628383999,8,34.50291442871094,17.47921,-83.14039,151.35239
282248831,1222628384999,2,35.464942932128906,-73.31311,-84.7362,50.2739
282248831,1222628384999,5,29.332473754882812,-73.31311,-84.7362,50.2739
282248832,1222628384999,7,37.84056091308594,-73.31311,-84.7362,50.2739
282248832,1222628384999,9,18.776458740234375,-73.31311,-84.7362,50.2739
282248833,1222628384999,13,40.902530670166016,-73.31311,-84.7362,50.2739
282248833,1222628384999,15,20.502763748168945,-73.31311,-84.7362,50.2739
282248833,1222628384999,28,31.756027221679688,-73.31311,-84.7362,50.2739
282248834,1222628384999,30,35.3824462890625,-73.31311,-84.7362,50.2739
282248834,1222628384999,2,28.169692993164062,-73.31311,-84.7362,50.2739
282248834,1222628384999,18,27.448684692382812,-73.31311,-84.7362,50.2739
282248834,1222628384999,12,29.64849090576172,-73.31311,-84.7362,50.2739
282248834,1222628384999,11,32.65367889404297,-73.31311,-84.7362,50.2739
282248835,1222628384999,1,27.062519073486328,-73.31311,-84.7362,50.2739
282248835,1222628384999,17,30.52888298034668,-73.31311,-84.7362,50.2739
282248835,1222628384999,8,37.27418899536133,-73.31311,-84.7362,50.2739
282249870,1222628385999,2,33.3316650390625,-6.8409743,-78.651825,104.17514
282249870,1222628385999,5,37.42316436767578,-6.8409743,-78.651825,104.17514
282249873,1222628385999,7,38.456504821777344,-6.8409743,-78.651825,104.17514
282249874,1222628385999,9,18.50187110900879,-6.8409743,-78.651825,104.17514
282249875,1222628385999,13,40.96247863769531,-6.8409743,-78.651825,104.17514
282249875,1222628385999,15,17.715953826904297,-6.8409743,-78.651825,104.17514
282249876,1222628385999,21,13.538066864013672,-6.8409743,-78.651825,104.17514
282249877,1222628385999,28,28.804218292236328,-6.8409743,-78.651825,104.17514
282249878,1222628385999,30,39.44398880004883,-6.8409743,-78.651825,104.17514
282249879,1222628385999,2,26.578012466430664,-6.8409743,-78.651825,104.17514
282249879,1222628385999,18,26.56804847717285,-6.8409743,-78.651825,104.17514
282249880,1222628385999,12,29.40748405456543,-6.8409743,-78.651825,104.17514
282249881,1222628385999,11,37.29936599731445,-6.8409743,-78.651825,104.17514
282249882,1222628385999,1,29.54499053955078,-6.8409743,-78.651825,104.17514
282249883,1222628385999,17,30.162538528442383,-6.8409743,-78.651825,104.17514
282249883,1222628385999,8,38.670475006103516,-6.8409743,-78.651825,104.17514
282250823,1222628386999,2,32.8140983581543,-25.723125,-81.57291,93.83959
282250823,1222628386999,5,38.110843658447266,-25.723125,-81.57291,93.83959
282250824,1222628386999,7,37.985687255859375,-25.723125,-81.57291,93.83959
282250824,1222628386999,9,16.19375991821289,-25.723125,-81.57291,93.83959
282250824,1222628386999,13,39.90191650390625,-25.723125,-81.57291,93.83959
282250824,1222628386999,15,17.281295776367188,-25.723125,-81.57291,93.83959
282250824,1222628386999,21,7.020166397094727,-25.723125,-81.57291,93.83959
282250824,1222628386999,28,29.200759887695312,-25.723125,-81.57291,93.83959
282250824,1222628386999,30,39.10990905761719,-25.723125,-81.57291,93.83959
282250824,1222628386999,2,26.474769592285156,-25.723125,-81.57291,93.83959
282250824,1222628386999,18,26.50045394897461,-25.723125,-81.57291,93.83959
282250824,1222628386999,12,29.918916702270508,-25.723125,-81.57291,93.83959
282250825,1222628386999,11,36.93108367919922,-25.723125,-81.57291,93.83959
282250825,1222628386999,1,29.720752716064453,-25.723125,-81.57291,93.83959
282250825,1222628386999,17,27.897390365600586,-25.723125,-81.57291,93.83959
282250825,1222628386999,8,37.8519287109375,-25.723125,-81.57291,93.83959
282251862,1222628387999,2,35.32567596435547,-8.748252,-78.1406,109.12315
282251862,1222628387999,5,38.1580696105957,-8.748252,-78.1406,109.12315
282251863,1222628387999,7,38.03786849975586,-8.748252,-78.1406,109.12315
282251863,1222628387999,9,16.92880630493164,-8.748252,-78.1406,109.12315
282251864,1222628387999,13,39.31903839111328,-8.748252,-78.1406,109.12315
282251864,1222628387999,15,13.432941436767578,-8.748252,-78.1406,109.12315
282251864,1222628387999,21,7.465473175048828,-8.748252,-78.1406,109.12315
282251864,1222628387999,28,27.183082580566406,-8.748252,-78.1406,109.12315
282251864,1222628387999,30,38.8469123840332,-8.748252,-78.1406,109.12315
282251864,1222628387999,2,25.780963897705078,-8.748252,-78.1406,109.12315
282251865,1222628387999,18,25.37847137451172,-8.748252,-78.1406,109.12315
282251865,1222628387999,12,30.822153091430664,-8.748252,-78.1406,109.12315
282251865,1222628387999,11,36.27340316772461,-8.748252,-78.1406,109.12315
282251866,1222628387999,1,29.636266708374023,-8.748252,-78.1406,109.12315
282251866,1222628387999,17,26.574161529541016,-8.748252,-78.1406,109.12315
282251866,1222628387999,8,37.23021697998047,-8.748252,-78.1406,109.12315
282252834,1222628388999,2,34.99971008300781,-2.0680594,-80.36822,111.35677
282252835,1222628388999,5,38.958438873291016,-2.0680594,-80.36822,111.35677
282252835,1222628388999,7,38.18031311035156,-2.0680594,-80.36822,111.35677
282252836,1222628388999,9,16.13065528869629,-2.0680594,-80.36822,111.35677
282252836,1222628388999,13,39.59607696533203,-2.0680594,-80.36822,111.35677
282252837,1222628388999,15,17.12482452392578,-2.0680594,-80.36822,111.35677
282252837,1222628388999,21,7.0,-2.0680594,-80.36822,111.35677
282252838,1222628388999,28,26.217180252075195,-2.0680594,-80.36822,111.35677
282252838,1222628388999,30,38.98759841918945,-2.0680594,-80.36822,111.35677
282252839,1222628388999,2,25.333404541015625,-2.0680594,-80.36822,111.35677
282252840,1222628388999,18,25.226308822631836,-2.0680594,-80.36822,111.35677
282252840,1222628388999,12,30.854520797729492,-2.0680594,-80.36822,111.35677
282252841,1222628388999,11,36.645084381103516,-2.0680594,-80.36822,111.35677
282252841,1222628388999,1,29.744218826293945,-2.0680594,-80.36822,111.35677
282252841,1222628388999,17,26.058717727661133,-2.0680594,-80.36822,111.35677
282252841,1222628388999,8,37.566017150878906,-2.0680594,-80.36822,111.35677
282253863,1222628389999,2,32.17024230957031,-20.58681,-80.874306,99.637535
282253863,1222628389999,5,38.173831939697266,-20.58681,-80.874306,99.637535
282253864,1222628389999,7,37.728759765625,-20.58681,-80.874306,99.637535
282253864,1222628389999,9,13.86927604675293,-20.58681,-80.874306,99.637535
282253864,1222628389999,13,38.73939895629883,-20.58681,-80.874306,99.637535
282253865,1222628389999,15,19.73373794555664,-20.58681,-80.874306,99.637535
282253865,1222628389999,21,10.237276077270508,-20.58681,-80.874306,99.637535
282253865,1222628389999,27,13.114723205566406,-20.58681,-80.874306,99.637535
282253866,1222628389999,28,30.02617073059082,-20.58681,-80.874306,99.637535
282253866,1222628389999,30,37.277862548828125,-20.58681,-80.874306,99.637535
282253866,1222628389999,2,27.324268341064453,-20.58681,-80.874306,99.637535
282253866,1222628389999,18,25.198368072509766,-20.58681,-80.874306,99.637535
