# 
# Header Description:
# 
# Version: v2.0.0.1 Platform: 8.0.0 Manufacturer: HUAWEI Model: VKY-TL00
# 
# ElapsedRealtimeMillis,UtcTimeMillis,Svid,Cn0DbHz,angleZ,angleX,angleY
# 
282340852,1222628477000,2,28.04745864868164,161.77773,-15.034684,4.1469574
282340852,1222628477000,5,40.163841247558594,161.77773,-15.034684,4.1469574
282340852,1222628477000,7,31.4526309967041,161.77773,-15.034684,4.1469574
282340852,1222628477000,8,7.0,161.77773,-15.034684,4.1469574
282340852,1222628477000,9,20.736618041992188,161.77773,-15.034684,4.1469574
282340853,1222628477000,13,41.74214172363281,161.77773,-15.034684,4.1469574
282340853,1222628477000,15,20.215993881225586,161.77773,-15.034684,4.1469574
282340853,1222628477000,21,20.487895965576172,161.77773,-15.034684,4.1469574
282340853,1222628477000,28,32.31319808959961,161.77773,-15.034684,4.1469574
282340853,1222628477000,30,37.770225524902344,161.77773,-15.034684,4.1469574
282340853,1222628477000,2,28.224279403686523,161.77773,-15.034684,4.1469574
282340853,1222628477000,18,24.850759506225586,161.77773,-15.034684,4.1469574
282340853,1222628477000,12,34.704166412353516,161.77773,-15.034684,4.1469574
282340853,1222628477000,11,35.534751892089844,161.77773,-15.034684,4.1469574
282340854,1222628477000,1,29.133901596069336,161.77773,-15.034684,4.1469574
282340854,1222628477000,19,12.510406494140625,161.77773,-15.034684,4.1469574
282340854,1222628477000,17,35.88131332397461,161.77773,-15.034684,4.1469574
282340854,1222628477000,8,31.9455509185791,161.77773,-15.034684,4.1469574
282341853,1222628478000,2,26.018932342529297,106.92088,-85.9165,-16.8584
282341853,1222628478000,5,38.63031005859375,106.92088,-85.9165,-16.8584
282341853,1222628478000,7,30.715261459350586,106.92088,-85.9165,-16.8584
282341853,1222628478000,8,7.0,106.92088,-85.9165,-16.8584
282341853,1222628478000,9,18.164979934692383,106.92088,-85.9165,-16.8584
282341853,1222628478000,13,38.52035140991211,106.92088,-85.9165,-16.8584
282341853,1222628478000,15,20.175662994384766,106.92088,-85.9165,-16.8584
282341854,1222628478000,21,18.328588485717773,106.92088,-85.9165,-16.8584
282341854,1222628478000,27,13.097795486450195,106.92088,-85.9165,-16.8584
282341854,1222628478000,28,32.22730255126953,106.92088,-85.9165,-16.8584
282341854,1222628478000,30,36.45309066772461,106.92088,-85.9165,-16.8584
282341854,1222628478000,2,24.678714752197266,106.92088,-85.9165,-16.8584
282341854,1222628478000,18,22.800573348999023,106.92088,-85.9165,-16.8584
282341854,1222628478000,12,33.97673034667969,106.92088,-85.9165,-16.8584
282341854,1222628478000,11,36.78281784057617,106.92088,-85.9165,-16.8584
282341854,1222628478000,1,29.999814987182617,106.92088,-85.9165,-16.8584
282341854,1222628478000,19,12.063175201416016,106.92088,-85.9165,-16.8584
282341854,1222628478000,17,33.595924377441406,106.92088,-85.9165,-16.8584
282341854,1222628478000,8,30.373207092285156,106.92088,-85.9165,-16.8584
282342854,1222628479000,2,25.460121154785156,142.78375,-83.76325,-26.104853
282342854,1222628479000,5,34.17064666748047,142.78375,-83.76325,-26.104853
282342854,1222628479000,7,33.899505615234375,142.78375,-83.76325,-26.104853
282342854,1222628479000,8,7.0,142.78375,-83.76325,-26.104853
282342854,1222628479000,9,12.833183288574219,142.78375,-83.76325,-26.104853
282342854,1222628479000,13,34.26092529296875,142.78375,-83.76325,-26.104853
282342854,1222628479000,15,18.9700984954834,142.78375,-83.76325,-26.104853
282342854,1222628479000,21,13.105234146118164,142.78375,-83.76325,-26.104853
282342854,1222628479000,27,8.134012222290039,142.78375,-83.76325,-26.104853
282342854,1222628479000,28,32.77970886230469,142.78375,-83.76325,-26.104853
282342855,1222628479000,30,32.714473724365234,142.78375,-83.76325,-26.104853
282342855,1222628479000,2,27.740068435668945,142.78375,-83.76325,-26.104853
282342855,1222628479000,18,17.89129638671875,142.78375,-83.76325,-26.104853
282342855,1222628479000,12,31.484750747680664,142.78375,-83.76325,-26.104853
